Sl no.,Duration (in seconds),AIToolName_1,AIToolName_2,AIToolName_3,AIToolName_4,AIToolName_5,S1_1,S1_2,S1_3,S1_4,S1_5,HM_1,HM_2,HM_3,HM_4,Asp_1,Asp_2,Asp_3,Asp_4,Asp_5,Who,How ,Why,When_1,When_2,When_3,When_4,When_5,PE_1,PE_2,PE_3,PE_4,PE_5,EE_1,EE_2,EE_3,EE_4,AC_1,PA_1,PA_2,PA_3,PA_4,PA_5,PA_6,PA_7,PA_8,PA_9,PA_10,NA_1,NA_2,NA_3,NA_4,NA_5,NA_6,NA_7,NA_8,NA_9,NA_10,AIUse_1,AIUse_2,AIUse_3,AIUse_4,AIUse_5,AIUse_6,AIUse_7,AIUse_8,AIUse_9,AIObj_1,AIObj_2,AIObj_3,AIObj_4,AIObj_5,AIObj_6,AIObj_7,AIObj_8,AC_2,AITask_1,AITask_2,AITask_3,AITask_4,AITask_5,AITask_7,AITask_8,AITask_6,Freq,AIL_1,AIL_2,AIL_3,AIL_4,AIL_5,AIL_6,AIL_7,AIL_8,AC_3,Gender,Age,WrkExp,AIExp,WhoHuman,WhoAgent,WhoBoth,WhoNotSure,HowContinuously,HowDiscretely,HowBoth,HowNotSure,HowNever,WhyPreEmptively,WhyCorrectively,WhyBoth,WhyNotSure,WhyNever,LevelOfAutonomy,PATotal,NATotal,PAScaled,NAScaled
112,185,Alexa,,,,,4,3,4,1,4,5,4,6,6,1,,,,,1,1,2,,,,1,,4,5,5,5,5,7,3,7,7,1,37,72,43,60,86,39,71,81,74,45,2,2,3,2,4,2,3,2,0,3,6,6,5,5,6,4,5,5,5,1,1,2,1,1,3,1,2,7,,,,1,,1,,,3,4,4,5,5,6,7,7,7,1,1,25,9,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,3,608,23,4.26,0.16
113,360,Chat GPT,Gemini,,,,3,3,3,3,3,5,5,5,5,1,,,1,,1,1,2,,,,1,,4,4,4,4,5,5,5,5,5,1,79,52,17,68,33,57,57,57,75,70,13,12,33,7,8,7,18,13,4,4,4,4,5,6,5,6,6,5,5,3,3,4,3,4,4,4,5,7,,,,1,,1,,,5,5,4,5,5,6,5,5,5,1,2,49,32,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,3,565,119,3.96,0.83
114,341,Chat Gpt,,,,,3,3,4,4,3,6,6,6,6,1,1,1,1,,1,2,3,,,1,,,5,3,5,3,5,6,6,6,6,1,79,57,42,55,31,62,54,43,64,33,5,2,57,29,13,6,27,44,16,36,2,5,2,2,4,2,5,3,4,2,2,2,3,2,2,2,4,7,,,1,,1,,,,3,2,2,5,5,3,2,5,5,1,1,22,6,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,520,235,3.64,1.65
115,366,chat gpt,,,,,2,3,1,2,3,4,4,4,4,,,,1,,2,2,3,,,1,,,3,2,3,3,3,5,5,5,6,1,80,60,43,51,35,57,46,59,69,54,3,3,3,3,4,4,4,4,4,4,3,3,3,1,4,2,4,4,4,4,4,5,6,6,6,6,6,7,,1,1,,,,1,,5,4,4,5,2,5,3,3,4,1,1,37,15,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,4,554,36,3.88,0.25
116,391,Ask Claude,Chat GPT,Capcut/ Tiktok speech to text ,Firefly ,,5,6,4,5,3,5,5,5,6,1,1,1,1,,4,4,3,,,,1,,5,5,4,5,6,6,6,6,6,1,90,45,46,60,40,60,61,51,53,54,40,38,27,23,24,22,23,23,22,21,4,5,5,3,6,5,3,5,5,1,2,1,1,2,1,1,5,7,1,1,,,,1,,,2,5,6,6,5,6,3,5,3,1,1,25,5,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,4,560,263,3.92,1.84
117,443,Monday.com,Chat GPT,,,,6,6,6,7,6,7,7,7,7,1,1,1,1,,1,1,2,1,,,,,4,4,5,4,5,6,6,6,6,1,76,77,75,74,80,81,80,80,81,81,3,4,3,3,2,1,2,2,2,3,5,5,5,6,6,6,6,6,6,2,2,2,2,2,3,2,6,7,1,1,,1,,,,,3,6,5,6,5,5,6,5,6,1,2,46,19,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,3,785,25,5.5,0.18
118,277,chat gpt,,,,,2,5,2,2,2,4,4,4,4,,,,,1,4,4,3,,,1,,,4,3,3,1,2,5,5,5,5,1,21,13,12,14,25,27,12,11,36,19,7,3,3,3,2,46,5,1,3,3,2,2,2,2,2,2,2,2,2,6,5,6,6,6,6,6,6,7,,1,,,1,,1,,7,3,3,3,5,5,4,4,5,1,2,48,27,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,4,190,76,1.33,0.53
119,289,ChatGPT,Copilot,,,,2,2,2,2,2,6,6,6,6,1,1,,1,,3,2,3,1,,,,,3,3,3,3,4,6,6,6,6,1,87,54,50,76,50,77,67,69,68,66,0,0,6,0,0,0,7,0,0,0,3,5,5,5,5,4,5,5,5,3,3,3,3,3,3,3,5,7,,,,,,1,,,5,5,5,6,6,6,6,5,6,1,2,48,23,3,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,664,13,4.65,0.09
120,269,chat bot,,,,,4,3,2,3,3,5,4,5,4,,,1,,,1,1,1,,,1,,,5,5,4,5,3,5,4,4,5,1,24,21,36,28,31,35,32,36,40,35,34,25,53,36,28,26,34,26,33,22,3,3,4,5,4,3,4,4,4,4,3,3,4,4,4,4,5,7,1,,,,,,,,2,5,5,5,5,5,4,4,6,1,1,37,13,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,4,318,317,2.23,2.22
121,294,ChatGPT,Everafter,,,,3,3,3,3,3,3,4,4,3,,,1,1,,1,2,3,,,1,,,4,4,4,4,5,4,5,6,4,1,29,29,10,26,11,12,41,41,41,23,5,5,24,6,3,4,4,11,4,3,4,4,3,4,3,5,3,3,4,4,3,4,4,4,5,3,4,7,1,,,,1,,,,3,5,5,4,4,4,5,4,5,1,1,21,2,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,263,69,1.84,0.48
122,366,Co pilot,Chat gpt,,,,6,6,4,5,5,5,5,4,5,,,1,1,,4,3,3,,,1,,,6,5,6,7,6,6,6,6,6,1,64,21,21,39,15,35,20,39,58,17,2,1,18,1,1,3,3,21,1,5,2,6,2,6,4,4,5,6,6,2,2,2,3,2,3,2,4,7,1,,1,,1,,,,3,5,6,6,6,6,5,5,6,1,1,31,15,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,329,56,2.3,0.39
123,408,Chatgpt,Beedone,,,,5,3,5,5,5,5,5,5,5,1,1,,1,,3,2,3,1,1,,,,1,2,1,1,5,7,6,6,5,1,73,26,47,74,31,61,38,53,81,25,10,9,22,6,6,56,4,6,8,7,5,5,5,6,5,6,5,6,5,3,3,3,5,3,3,3,3,7,,1,1,1,,1,,,1,5,3,6,5,7,6,5,6,1,2,36,19,3,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,509,134,3.56,0.94
124,494,Unm,,,,,6,7,2,5,5,5,6,6,6,,,,1,,1,1,2,,,,1,,6,6,6,5,6,6,6,6,6,1,47,25,32,51,38,37,51,49,49,56,14,17,19,18,14,18,13,12,12,12,6,6,6,6,6,6,6,6,6,2,2,3,2,2,2,2,4,7,,,,1,,,,,2,4,5,6,6,6,6,5,5,1,1,51,30,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,3,435,149,3.05,1.04
125,289,ChatGPT,SurveyMonkey,,,,3,5,3,4,5,5,5,5,6,1,1,1,1,,1,1,1,,,1,,,6,6,7,6,7,6,6,6,6,1,70,60,50,60,50,50,60,50,70,40,0,0,30,0,0,0,10,0,0,0,4,6,4,5,6,5,5,6,5,3,3,2,3,2,2,2,3,7,,,,1,,,,,1,4,5,5,5,6,3,4,3,1,2,43,21,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,4,560,40,3.92,0.28
126,217,Chat gpt ,,,,,4,4,4,4,4,5,4,5,4,,,,1,,3,4,4,,,,1,,3,3,3,3,4,4,4,4,4,1,50,47,53,52,16,38,32,54,54,55,7,6,8,8,9,6,4,8,8,5,3,4,3,4,4,4,4,4,4,3,4,4,5,4,4,4,4,7,1,,,1,,,,,6,3,3,4,4,3,3,3,3,1,1,33,11,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,4,451,69,3.16,0.48
127,285,Chat GBT,,,,,2,5,6,5,5,6,7,6,6,1,1,,1,,3,2,2,1,,,,,6,6,7,4,6,7,6,6,6,1,79,40,59,61,23,42,58,78,57,10,1,11,65,54,0,8,30,33,4,8,5,3,4,5,4,5,3,4,3,3,5,2,3,4,3,3,5,7,,,,,1,1,,,4,3,4,6,5,6,5,3,5,1,1,29,5,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2,507,214,3.55,1.5
128,234,ChatGPT,CoPilot,,,,3,3,2,2,2,5,5,5,5,1,,1,1,,1,1,3,,,1,,,2,2,2,2,5,5,5,5,5,1,56,49,44,30,22,72,77,34,73,42,2,2,51,3,3,2,2,3,2,2,3,3,5,3,3,3,3,5,3,3,4,4,5,3,4,3,3,7,,,,,1,1,,,4,5,5,6,6,5,6,6,6,1,1,37,19,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,499,72,3.49,0.5
129,373,Chatgpt,,,,,1,2,1,1,2,1,1,1,2,1,1,1,1,,1,1,1,,,1,,,2,2,2,2,5,7,7,7,7,1,0,0,0,40,0,60,0,0,60,0,0,0,0,0,0,1,0,0,0,0,7,2,3,1,1,1,1,1,1,1,2,1,1,2,3,1,7,7,1,,,,1,,,,2,6,5,6,6,6,7,5,7,1,2,29,6,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,4,160,1,1.12,0.01
130,547,ChatGpt,SCISPACE,,,,2,4,4,5,5,5,5,5,5,1,1,1,1,,1,1,2,,,,1,,4,4,4,3,5,6,5,5,5,1,52,50,20,50,15,69,33,69,83,19,20,11,18,3,5,2,5,2,2,2,3,5,3,5,2,5,5,3,6,3,3,2,4,2,3,3,3,7,,1,,,1,,,,3,3,3,5,5,3,2,3,5,1,2,39,17,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,3,460,70,3.22,0.49
131,383,Brennan,,,,,2,6,1,4,3,3,4,4,4,,,1,,,3,3,1,,,1,,,3,3,5,1,3,6,5,5,5,1,20,12,33,28,4,63,31,46,62,84,19,18,53,41,19,5,6,59,51,18,5,4,3,3,4,2,3,4,5,6,5,5,2,5,4,6,6,7,,1,1,,1,,,,3,3,3,3,5,6,6,5,6,1,2,38,20,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,383,289,2.68,2.02
132,389,ChatGPT,Juice AI,,,,3,4,3,4,4,5,5,5,5,1,1,,1,,3,2,3,,,1,,,1,1,2,1,5,5,5,5,5,1,51,16,16,49,5,50,48,18,46,46,0,0,2,0,0,0,0,0,0,0,5,5,5,3,5,3,5,5,5,3,4,4,3,3,3,3,3,7,1,,,,,1,,,3,5,5,5,5,5,6,5,6,1,1,53,30,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,345,2,2.42,0.01
133,367,Chat GPT,Grammarly,,,,1,2,1,1,1,1,1,1,1,1,1,1,1,,3,2,3,,,,1,,1,1,1,2,6,6,5,5,2,1,40,20,37,12,16,21,20,63,57,40,17,14,51,10,11,74,21,58,17,18,6,5,2,6,6,6,6,6,6,5,2,5,2,5,5,3,6,7,,,,,1,1,,,6,6,6,6,6,6,6,6,6,1,1,30,7,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,4,326,291,2.28,2.04
134,471,Workday recruitment ,,,,,3,5,2,5,5,3,3,3,4,,1,1,1,,3,2,3,,,1,,,5,5,5,5,5,5,5,5,5,1,48,50,48,48,19,22,16,32,39,38,6,10,12,5,12,9,10,4,4,3,5,5,5,5,5,5,5,4,5,3,3,3,5,3,3,3,5,7,1,1,,,,,,,1,5,5,5,5,5,5,5,6,1,1,38,18,4,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,360,75,2.52,0.53
135,625,Chat GPT,,,,,2,4,4,5,5,5,5,5,5,1,1,1,1,,1,2,3,,,1,,,5,5,6,4,7,6,6,6,6,1,91,70,89,91,55,68,76,85,92,93,7,7,33,10,6,7,8,8,7,7,5,6,4,3,2,3,3,3,3,2,2,1,2,2,1,1,2,7,,,,,1,1,,,5,4,4,5,5,4,4,3,5,1,1,45,25,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,810,100,5.67,0.7
136,402,ChatGPT,,,,,4,3,4,4,5,3,5,3,5,1,1,,1,,1,1,1,1,1,1,,,4,4,5,4,6,6,6,6,6,1,40,62,26,69,4,68,50,67,65,68,0,0,36,9,0,0,12,13,0,11,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,2,2,7,,,,1,1,,,,6,5,6,5,5,6,5,5,5,1,2,37,20,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,4,519,81,3.63,0.57
137,532,In cab camera,,,,,2,2,2,2,2,1,1,1,1,,,,1,,2,1,4,,,,,1,2,1,5,1,1,5,3,7,1,1,0,4,66,0,0,0,7,54,100,47,5,0,24,28,0,77,3,35,25,19,6,7,6,5,6,5,6,5,3,2,2,2,2,7,6,5,6,7,,,,,1,,1,,1,5,7,5,5,6,5,5,5,1,2,32,17,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,4,278,216,1.95,1.51
138,615,Chat GBT,Chat Bot,,,,3,4,3,3,3,4,4,5,4,,,,1,,4,2,1,,,1,,,4,3,4,4,5,5,5,5,5,1,61,23,22,51,13,21,8,10,13,7,18,4,4,67,9,42,4,3,4,25,3,4,3,4,4,4,4,2,4,4,4,3,5,4,5,4,5,7,,,,1,1,,,,3,3,4,4,5,5,5,5,5,1,1,61,35,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,4,229,180,1.6,1.26
139,292,ChatGTP,Sales force Einstein ,,,,2,6,2,6,6,7,7,7,7,1,1,,1,,3,2,3,,,1,,,4,3,5,5,6,7,7,7,7,1,96,80,79,79,58,77,99,100,98,79,1,0,21,1,0,0,0,0,0,0,6,6,6,6,6,6,6,7,7,1,1,1,1,1,2,1,3,7,1,1,,,1,1,,,1,7,7,6,6,7,5,4,6,1,2,34,14,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,845,23,5.92,0.16
140,356,albus ai,,,,,4,5,1,5,2,7,7,7,7,1,1,,1,,3,3,3,,,1,,,4,4,4,3,5,5,6,6,6,1,100,100,78,93,78,63,77,81,78,81,0,1,83,0,0,0,80,0,0,0,6,4,3,5,5,5,4,5,5,4,7,6,4,4,5,5,6,7,,1,,1,1,,1,,1,6,4,6,6,5,4,2,3,1,2,36,11,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,829,164,5.8,1.15
141,530,Copilot,,,,,1,4,1,4,1,5,5,5,6,1,,,1,,1,1,2,,,1,,,6,7,5,5,6,7,7,7,7,1,100,0,52,20,0,100,22,82,100,20,0,0,0,0,0,13,0,0,0,0,7,1,7,1,1,1,1,4,1,1,1,1,1,1,4,1,4,7,,,,1,,1,,,3,2,6,7,7,7,7,7,7,1,2,49,29,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2,496,13,3.47,0.09
142,809,Chatgp,,,,,6,1,2,1,6,6,6,7,6,1,1,,,,1,1,3,,,,1,,5,3,6,7,7,5,6,6,5,1,97,80,81,96,40,97,96,93,93,92,17,0,0,1,5,2,7,6,9,5,6,6,6,2,6,2,5,6,5,2,6,1,2,2,6,1,6,7,,,,1,1,,,,4,7,7,6,6,7,3,2,2,1,2,42,11,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,3,865,52,6.06,0.36
143,399,Chat GPT,ZeroGPT,Winston ,,,4,6,5,6,6,6,6,6,6,,,1,,,1,2,3,,,1,,,1,3,5,5,5,6,6,6,6,1,60,59,60,63,24,61,80,63,60,64,12,4,60,17,9,6,22,7,10,7,6,6,6,6,7,6,7,6,5,2,3,2,2,2,2,1,2,7,,1,1,,1,1,,,1,6,6,6,7,6,7,7,6,1,1,35,18,6,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,594,154,4.16,1.08
144,215,Adobe Firefly ,,,,,4,5,3,4,4,6,6,6,6,1,1,,1,,3,3,2,,,,1,,4,4,5,4,6,6,6,6,5,1,75,70,44,61,29,62,51,23,68,72,0,0,0,6,0,18,0,0,0,0,3,5,4,5,4,4,4,5,5,2,2,3,3,3,2,2,3,7,,,,,1,,,,1,3,3,4,4,5,3,3,3,1,1,40,19,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,3,555,24,3.89,0.17
145,384,Grammarly,,,,,4,7,5,4,6,6,6,5,6,,,,1,,2,3,2,,,1,,,6,7,5,4,6,7,6,7,6,1,62,0,69,40,69,77,52,57,87,43,0,0,0,0,0,0,0,28,0,9,5,6,6,6,6,6,4,7,5,2,2,1,1,1,3,3,4,7,1,,1,,1,1,,,3,5,7,4,5,4,5,5,5,1,1,28,10,3,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,556,37,3.89,0.26
146,254,GhatGPT,Gemini,,,,3,4,3,3,3,6,6,5,6,1,,,1,,3,2,2,,,1,,,6,5,5,6,6,7,7,6,6,1,80,60,19,40,0,21,58,42,54,22,0,0,47,15,0,1,39,32,0,0,3,6,3,5,5,5,6,5,5,5,5,3,5,3,5,3,5,7,1,,,1,,1,,,4,5,3,7,6,7,5,5,3,1,1,24,3,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2,396,134,2.77,0.94
147,537,Chat-GPT,Jasper,Copilot,,,2,4,2,3,2,3,4,4,5,1,1,,1,,1,1,3,1,1,,,,3,4,5,5,5,6,6,6,5,1,60,22,25,41,12,43,24,28,82,41,5,9,24,5,3,20,3,4,9,4,4,5,6,6,5,5,5,6,5,3,3,4,3,3,3,3,4,7,1,,,,1,1,,,3,5,4,3,5,5,5,5,5,1,2,37,18,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,3,378,86,2.65,0.6
148,899,Chat gpt,Asana,,,,4,4,3,4,5,5,5,5,5,,,,,1,4,2,3,,,1,,,5,6,6,4,5,5,5,6,5,1,80,65,50,75,40,60,80,70,80,80,2,0,7,0,0,0,0,0,0,0,3,5,3,6,5,6,6,6,6,2,1,2,3,2,2,1,3,7,,1,,,1,1,,,3,4,5,6,5,5,4,4,4,1,2,45,20,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,4,680,9,4.76,0.06
149,524,Gemini,ChatGPT,,,,2,5,2,3,5,4,4,2,3,,1,1,1,,1,2,1,,,1,,,2,3,2,2,3,4,4,5,4,1,75,25,18,37,13,74,43,67,89,22,19,21,54,22,20,35,14,39,1,4,5,3,3,5,4,4,5,6,3,3,4,5,4,3,4,4,4,7,,,,,1,1,,,6,6,6,6,6,6,5,4,5,1,2,44,25,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,4,463,229,3.24,1.6
150,405,chatgpt,,,,,2,2,2,2,2,5,5,5,5,1,1,1,1,,1,1,3,,,,1,,5,5,5,5,6,6,6,6,6,1,77,56,0,63,42,67,43,79,86,65,36,7,64,35,0,0,62,48,0,34,6,5,6,6,6,6,6,6,6,1,2,1,1,2,1,2,2,7,,1,,,1,1,,,3,5,7,6,6,7,6,7,6,1,2,33,14,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,3,578,286,4.05,2
151,339,chatgpt,copilot,,,,6,6,6,5,5,6,6,6,6,,,1,1,,3,2,3,1,,,,,5,5,5,6,6,5,5,5,6,1,71,66,70,67,71,72,75,87,89,88,53,50,36,35,13,9,12,12,13,13,6,6,4,6,5,6,5,6,6,4,6,4,6,6,4,6,6,7,,,,,1,,,,1,4,2,5,5,5,4,4,4,1,2,43,7,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,756,246,5.29,1.72
152,280,MS,GOOGLE AI,,,,6,6,4,5,5,5,5,5,5,1,1,,,,3,4,3,,,,1,,5,6,6,5,6,5,5,5,5,1,50,49,50,51,50,48,51,57,52,56,0,0,1,0,3,3,1,1,6,2,6,6,6,6,6,6,6,6,6,3,2,3,3,3,6,3,5,7,,1,,1,,,1,,1,5,6,6,5,6,5,5,5,1,2,33,16,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,3,514,17,3.6,0.12
153,336,eRecord,M Modal dictation,Dragon dictation,,,2,6,1,7,6,2,2,1,2,1,,1,,,3,3,3,,,1,,,5,5,5,5,3,5,5,3,3,1,20,19,11,15,9,81,8,62,81,39,64,63,6,0,51,94,0,0,0,0,5,6,6,5,5,7,6,6,6,4,3,6,3,3,2,2,3,7,,1,,1,,,1,,1,6,5,6,6,6,5,5,5,1,2,40,18,6,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,345,278,2.42,1.95
154,391,Copilot,ChatGPT,,,,2,5,4,6,6,5,5,4,5,1,1,,1,,4,1,3,,,,1,,4,4,4,3,6,6,5,6,6,1,80,60,60,70,25,70,70,100,70,30,0,0,0,1,0,10,0,0,0,0,5,5,5,4,5,4,6,6,5,2,2,2,2,2,3,2,3,7,1,1,,,1,1,,,1,4,5,6,6,6,5,5,5,1,2,26,15,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,4,635,11,4.45,0.08
155,703,Chatgpt ,,,,,2,2,2,1,4,6,6,4,6,,,,1,,1,4,3,,,,1,,3,2,2,4,5,6,4,6,6,1,72,60,54,80,32,56,66,36,78,56,8,8,7,4,4,4,5,6,3,6,4,5,4,5,3,5,5,6,4,1,2,1,2,1,4,1,2,7,,,,,,1,,,5,4,6,6,6,6,3,2,2,1,1,50,17,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,3,590,55,4.13,0.39
156,282,Chatgbt,,,,,3,3,2,3,3,4,4,4,4,,,,1,,4,5,5,,,,1,,4,4,5,5,3,5,5,5,5,1,62,40,60,60,60,79,59,61,60,60,0,0,0,0,20,3,0,6,0,0,5,4,5,5,5,5,4,4,5,5,4,4,5,5,5,4,4,7,,,,1,,,,,7,3,3,4,5,5,5,3,5,1,1,46,24,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,4,601,29,4.21,0.2
157,494,unsure of the name of the AI tools useed,,,,,3,5,3,4,5,6,6,6,6,1,1,,1,,3,3,3,,,1,,,4,3,5,2,5,6,6,6,6,1,26,25,29,41,31,48,46,31,39,40,12,10,9,12,9,12,10,8,9,10,6,6,5,5,6,6,6,6,6,2,2,5,2,2,2,2,2,7,,,,1,,,,,1,6,6,4,6,6,6,6,4,1,1,55,35,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,356,101,2.49,0.71
158,361,GitHub Copilot,,,,,3,7,4,5,6,6,6,5,5,,,1,1,,1,1,2,1,,,,,4,2,3,5,6,7,7,7,6,1,64,19,12,32,0,19,0,29,55,36,0,0,0,0,0,10,0,0,0,0,6,5,3,6,5,6,5,6,5,2,1,2,2,1,2,1,2,7,,,,,1,,,,5,7,7,6,6,7,7,6,7,1,2,33,15,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,3,266,10,1.86,0.07
159,461,Chat GPT,Microsoft Copilot,,,,1,3,1,2,3,5,6,6,5,1,1,1,1,,1,2,3,,,,1,,5,5,6,1,5,6,6,6,6,1,84,58,17,73,16,88,56,64,80,70,11,7,15,10,9,9,11,18,15,12,6,5,2,6,5,6,6,6,6,3,2,2,2,2,2,2,3,7,1,1,1,1,,1,,,3,5,6,5,5,6,5,5,6,1,1,25,10,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,4,606,117,4.24,0.82
160,298,ChatGPT,Co-Pilot,Gemini,,,5,4,3,5,6,5,6,6,6,1,,,1,,1,3,1,,,,1,,5,5,7,5,7,7,6,7,7,1,82,60,61,79,36,31,82,66,66,45,11,10,34,4,5,5,17,5,6,4,5,5,3,6,5,5,5,6,5,2,2,2,2,2,2,2,1,7,1,,,,1,,,,3,5,5,5,5,6,3,3,3,1,2,46,25,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,4,608,101,4.26,0.71
161,731,chat box,grammarly,,,,3,2,1,4,3,1,1,1,1,,,,1,,1,2,1,,,1,,,1,1,1,1,2,5,4,5,4,1,1,1,1,1,1,1,1,1,11,70,59,64,1,1,1,56,1,1,1,1,7,7,7,5,4,6,6,6,6,4,7,4,2,7,7,7,7,7,,1,1,1,,,,,3,6,6,6,6,6,5,5,7,1,1,56,60,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,4,89,186,0.62,1.3
162,385,GPT,,,,,6,6,5,6,6,5,6,6,6,1,,,,,3,2,2,,,1,,,6,6,6,6,5,5,5,5,6,1,70,60,64,64,64,67,66,70,66,67,21,14,19,18,18,17,18,16,17,17,5,6,5,6,6,6,6,6,6,4,3,4,4,4,3,4,4,7,,1,1,,,,,,5,5,5,5,5,6,6,6,5,1,1,58,40,6,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2,658,175,4.61,1.23
163,276,ChatGPT,,,,,3,4,1,4,4,4,5,4,5,1,,,,,3,2,2,,,1,,,5,5,5,5,6,7,7,7,7,1,65,11,10,51,15,51,28,26,44,17,0,0,0,0,0,0,0,0,0,0,6,5,5,5,3,5,5,5,5,1,2,1,1,1,3,1,1,7,,1,,,,,,,2,7,7,7,7,7,6,6,6,1,1,46,27,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2,318,0,2.23,0
164,389,chatgpt,leonardo.ai,,,,2,4,4,4,5,5,5,5,4,1,1,,1,,3,2,4,,,1,,,4,5,5,4,6,5,6,6,6,1,64,37,50,58,17,77,60,59,70,71,0,0,0,0,0,0,0,0,0,0,6,5,6,4,4,4,5,5,6,4,3,3,2,4,3,3,4,7,,1,,,1,,,1,3,6,6,4,6,6,6,6,6,1,2,56,33,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,4,563,0,3.94,0
165,427,Chatgpt,,,,,6,6,3,7,6,6,6,7,6,1,,1,1,,1,1,1,,,1,,,5,5,6,5,6,5,5,6,6,1,55,67,45,76,34,89,68,81,87,71,36,44,31,49,31,25,40,25,22,24,5,6,5,5,5,5,6,6,6,2,3,6,3,2,5,5,5,7,,1,,,1,,,,3,5,3,5,5,6,3,3,2,1,2,62,34,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,4,673,327,4.71,2.29
166,638,adobe firefly,chat gbt,,,,2,4,2,4,4,4,4,4,4,1,,,,,3,2,1,1,,,,,4,4,3,2,4,3,5,3,3,1,52,20,31,35,35,55,36,53,77,55,52,51,2,0,0,50,0,7,0,0,3,3,5,4,4,4,5,4,4,4,4,5,6,5,6,4,3,7,,,,,1,,,1,4,4,5,4,4,4,4,4,5,1,1,63,44,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,4,449,162,3.14,1.13
167,751,Predictive text,Microsoft Co-Pilot,,,,2,6,2,2,5,5,5,5,6,,,,1,,1,1,3,,,1,,,6,6,6,5,7,7,7,7,7,1,93,60,60,80,78,81,60,60,78,79,0,0,0,0,0,0,0,0,0,0,5,7,6,5,5,5,5,6,5,1,1,1,1,1,1,1,6,7,,,,,1,1,,,1,5,6,6,6,6,5,2,5,1,1,41,2,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,4,729,0,5.1,0
168,414,CHAT GPT ,VGM,,,,2,4,4,2,2,5,4,5,4,,,,1,,1,2,3,,,,1,,5,5,6,5,7,6,6,6,5,1,58,61,10,20,2,2,49,9,1,2,2,2,84,4,2,3,33,1,3,3,2,5,5,1,4,4,4,5,4,3,2,2,2,3,4,3,4,7,,,,1,,,,,3,5,5,4,4,5,3,4,4,1,1,35,17,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,4,214,137,1.5,0.96
